state,total,D,R,year,D_pv2p,R_pv2p
Alabama,2297295,837376,1427820,2020,0.369670439,0.630329561
Alaska,346524,148190,184993,2020,0.444770592,0.555229408
Arizona,3395329,1672054,1661677,2020,0.501556364,0.498443636
Arkansas,1211285,419578,757438,2020,0.356476038,0.643523962
California,16827982,10744672,5721411,2020,0.652533575,0.347466425
Colorado,3256061,1803921,1364202,2020,0.5693974,0.4306026
Connecticut,1823379,1080492,714613,2020,0.601910195,0.398089805
Delaware,504010,296268,200603,2020,0.596267442,0.403732558
District of Columbia,333682,307265,18172,2020,0.944161236,0.055838764
Florida,11067456,5297045,5668731,2020,0.483052453,0.516947547
Georgia,4991938,2472002,2457880,2020,0.501432286,0.498567714
Hawaii,573854,365802,196602,2020,0.650425673,0.349574327
Idaho,868615,287021,554118,2020,0.341228976,0.658771024
Illinois,5833354,3366935,2348194,2020,0.589126685,0.410873315
Indiana,3026214,1240634,1724900,2020,0.418350961,0.581649039
Iowa,1690037,758597,897356,2020,0.458102978,0.541897022
Kansas,1333513,551144,752903,2020,0.422641208,0.577358792
Kentucky,2134996,772285,1326418,2020,0.367982035,0.632017965
Louisiana,2148062,856034,1255776,2020,0.405355595,0.594644405
Maine,812765,429860,359118,2020,0.544831415,0.455168585
Maryland,2921521,1894321,955735,2020,0.664660975,0.335339025
Massachusetts,3529032,2316338,1148777,2020,0.668473629,0.331526371
Michigan,5534909,2795366,2650232,2020,0.513325809,0.486674191
Minnesota,3275727,1716207,1483551,2020,0.536355249,0.463644751
Mississippi,1159362,452795,688745,2020,0.396652767,0.603347233
Missouri,3012436,1242851,1711848,2020,0.420635401,0.579364599
Montana,603636,244783,343598,2020,0.41602805,0.58397195
Nebraska,943049,370912,552071,2020,0.401862223,0.598137777
Nevada,1405376,703486,669890,2020,0.512231173,0.487768827
New Hampshire,803810,424921,365654,2020,0.537483477,0.462516523
New Jersey,4182011,2388680,1730008,2020,0.579961386,0.420038614
New Mexico,921515,499782,401361,2020,0.55460898,0.44539102
New York,6656558,3698632,2850761,2020,0.564728976,0.435271024
North Carolina,5522501,2683787,2757112,2020,0.493261683,0.506738317
North Dakota,361819,114902,235595,2020,0.327825916,0.672174084
Ohio,5765836,2603681,3074418,2020,0.458548011,0.541451989
Oklahoma,1560699,503890,1020280,2020,0.330599605,0.669400395
Oregon,2361091,1333766,952501,2020,0.583381556,0.416618444
Pennsylvania,6860611,3419585,3352498,2020,0.504953203,0.495046797
Rhode Island,516358,306192,199830,2020,0.605096221,0.394903779
South Carolina,2513329,1091541,1385103,2020,0.440733913,0.559266087
South Dakota,422609,150471,261043,2020,0.365652201,0.634347799
Tennessee,3045401,1139289,1849467,2020,0.381191707,0.618808293
Texas,11231799,5211406,5860096,2020,0.470704517,0.529295483
Utah,1408163,527607,818784,2020,0.391867593,0.608132407
Vermont,367428,242820,112704,2020,0.682991866,0.317008134
Virginia,4452022,2406841,1960187,2020,0.551139356,0.448860644
Washington,4060747,2356584,1572345,2020,0.599803152,0.400196848
West Virginia,793747,235657,544826,2020,0.30193739,0.69806261
Wisconsin,3297114,1630389,1609879,2020,0.503164862,0.496835138
Wyoming,276765,73491,193559,2020,0.275195656,0.724804344
Alabama,1182850,659170,504070,1976,56.66672398,43.33327602
Alabama,1341929,636730,654192,1980,49.32366169,50.67633831
Alabama,1441713,551899,872849,1984,38.73660465,61.26339535
Alabama,1378476,549506,815576,1988,40.2544316,59.7455684
Alabama,1688060,690080,804283,1992,46.17887354,53.82112646
Alabama,1534349,662165,769044,1996,46.26612885,53.73387115
Alabama,1666272,692611,941173,2000,42.39305808,57.60694192
Alabama,1883415,693933,1176394,2004,37.10222865,62.89777135
Alabama,2099819,813479,1266546,2008,39.10909725,60.89090275
Alabama,2074338,795696,1255925,2012,38.78377147,61.21622853
Alabama,2123372,729547,1318255,2016,35.62585641,64.37414359
Alaska,123574,44058,71555,1976,38.10817123,61.89182877
Alaska,158445,41842,86112,1980,32.70081436,67.29918564
Alaska,207605,62007,138377,1984,30.94408735,69.05591265
Alaska,200116,72584,119251,1988,37.83668257,62.16331743
Alaska,258506,78294,102000,1992,43.42573796,56.57426204
Alaska,241620,80380,122746,1996,39.57149749,60.42850251
Alaska,285560,79004,167398,2000,32.06305144,67.93694856
Alaska,312598,111025,190889,2004,36.77371702,63.22628298
Alaska,326197,123594,193841,2008,38.93521508,61.06478492
Alaska,300495,122640,164676,2012,42.68470952,57.31529048
Alaska,318608,116454,163387,2016,41.61434529,58.38565471
Arizona,742719,295602,418642,1976,41.38669698,58.61330302
Arizona,873945,246843,529688,1980,31.78791317,68.21208683
Arizona,1025897,333854,681416,1984,32.88327243,67.11672757
Arizona,1171873,454029,702541,1988,39.25650847,60.74349153
Arizona,1486975,543050,572086,1992,48.69809602,51.30190398
Arizona,1404405,653288,622073,1996,51.22377115,48.77622885
Arizona,1532016,685341,781652,2000,46.71740083,53.28259917
Arizona,2012585,893524,1104294,2004,44.72499497,55.27500503
Arizona,2293475,1034707,1230111,2008,45.68609928,54.31390072
Arizona,2299254,1025232,1233654,2012,45.38661978,54.61338022
Arizona,2573165,1161167,1252401,2016,48.1099766,51.8900234
Arkansas,767535,498604,267903,1976,65.04885148,34.95114852
Arkansas,837582,398041,403164,1980,49.68029406,50.31970594
Arkansas,884406,338646,534774,1984,38.7724119,61.2275881
Arkansas,827738,349237,466578,1988,42.80835729,57.19164271
Arkansas,950653,505823,337324,1992,59.99226707,40.00773293
Arkansas,884262,475171,325416,1996,59.35282486,40.64717514
Arkansas,921781,422768,472940,2000,47.19931049,52.80068951
Arkansas,1054945,469953,572898,2004,45.06425175,54.93574825
Arkansas,1086617,422310,638017,2008,39.82827939,60.17172061
Arkansas,1069468,394409,647744,2012,37.84559465,62.15440535
Arkansas,1130635,380494,684872,2016,35.71486231,64.28513769
California,7803770,3742284,3882244,1976,49.08217269,50.91782731
California,8582938,3082943,4522994,1980,40.53337544,59.46662456
California,9505041,3922519,5467009,1984,41.77546518,58.22453482
California,9887065,4702233,5054917,1988,48.19268946,51.80731054
California,11131721,5121325,3630574,1992,58.51672877,41.48327123
California,10019469,5119835,3828381,1996,57.21626523,42.78373477
California,10965822,5861203,4567429,2000,56.20299,43.79701
California,12421353,6745485,5509826,2004,55.04132045,44.95867955
California,13561900,8274473,5011781,2008,62.27844959,37.72155041
California,13038547,7854285,4839958,2012,61.87281116,38.12718884
California,14181595,8753788,4483810,2016,66.12822054,33.87177946
Colorado,1081440,460801,584278,1976,44.09245617,55.90754383
Colorado,1184450,368009,652264,1980,36.06965979,63.93034021
Colorado,1295380,454975,821817,1984,35.63423016,64.36576984
Colorado,1372394,621453,728177,1988,46.04617562,53.95382438
Colorado,1569180,629681,562850,1992,52.80206552,47.19793448
Colorado,1510702,671152,691848,1996,49.24079237,50.75920763
Colorado,1741368,738227,883748,2000,45.51408006,54.48591994
Colorado,2129630,1001732,1101255,2004,47.63377044,52.36622956
Colorado,2401361,1288576,1073589,2008,54.55063469,45.44936531
Colorado,2569516,1323101,1185243,2012,52.74798831,47.25201169
Colorado,2780220,1338870,1202484,2016,52.68333337,47.31666663
Connecticut,1386355,647895,719261,1976,47.38998329,52.61001671
Connecticut,1406285,541732,677210,1980,44.44280368,55.55719632
Connecticut,1466900,569597,890877,1984,39.00083124,60.99916876
Connecticut,1443394,676584,750241,1988,47.41884954,52.58115046
Connecticut,1616156,682318,578313,1992,54.12511671,45.87488329
Connecticut,1392614,735740,483109,1996,60.36350688,39.63649312
Connecticut,1459525,816015,561094,2000,59.25565805,40.74434195
Connecticut,1578769,857488,693826,2004,55.27494756,44.72505244
Connecticut,1646792,997772,629428,2008,61.31833825,38.68166175
Connecticut,1558204,905083,634892,2012,58.77257748,41.22742252
Connecticut,1644920,897572,673215,2016,57.14154752,42.85845248
Delaware,235642,122461,109780,1976,52.73013809,47.26986191
Delaware,235668,105754,111252,1980,48.73321475,51.26678525
Delaware,254572,101656,152190,1984,40.0463273,59.9536727
Delaware,249891,108647,139639,1988,43.7588104,56.2411896
Delaware,289620,126054,102313,1992,55.1979927,44.8020073
Delaware,270810,140355,99062,1996,58.62365663,41.37634337
Delaware,327529,180068,137288,2000,56.74006479,43.25993521
Delaware,375190,200152,171660,2004,53.83150625,46.16849375
Delaware,412412,255459,152374,2008,62.63813865,37.36186135
Delaware,413890,242584,165484,2012,59.44695492,40.55304508
Delaware,441590,235603,185127,2016,55.99862144,44.00137856
District of Columbia,168830,137818,27873,1976,83.17772239,16.82227761
District of Columbia,173889,130231,23313,1980,84.81673006,15.18326994
District of Columbia,211288,180408,29009,1984,86.14773395,13.85226605
District of Columbia,192877,159407,27590,1988,85.24575261,14.75424739
District of Columbia,227572,192619,20698,1992,90.29706962,9.702930381
District of Columbia,185726,158220,17339,1996,90.12354821,9.876451791
District of Columbia,201894,171923,18073,2000,90.48769448,9.512305522
District of Columbia,227586,202970,21256,2004,90.52027865,9.479721353
District of Columbia,265853,245800,17367,2008,93.40076833,6.599231667
District of Columbia,293764,267070,21381,2012,92.5876492,7.412350798
District of Columbia,312575,282830,12723,2016,95.69518834,4.304811658
Florida,3150631,1636000,1469531,1976,52.68020187,47.31979813
Florida,3686927,1419475,2046951,1980,40.94923705,59.05076295
Florida,4180051,1448816,2730350,1984,34.66758679,65.33241321
Florida,4302313,1656701,2618885,1988,38.74792835,61.25207165
Florida,5313392,2071698,2173310,1992,48.80315891,51.19684109
Florida,5303154,2546870,2244536,1996,53.1549612,46.8450388
Florida,5963110,2912253,2912790,2000,49.99539059,50.00460941
Florida,7609810,3583544,3964522,2004,47.47632042,52.52367958
Florida,8390744,4282074,4045624,2008,51.41966003,48.58033997
Florida,8474179,4237756,4163447,2012,50.44225214,49.55774786
Florida,9420039,4504975,4617886,2016,49.38116453,50.61883547
Georgia,1463152,979409,483743,1976,66.93829486,33.06170514
Georgia,1596805,890955,654168,1980,57.66239969,42.33760031
Georgia,1776103,706628,1068722,1984,39.80217985,60.19782015
Georgia,1809672,714792,1081331,1988,39.79638366,60.20361634
Georgia,2321133,1008966,995252,1992,50.34212845,49.65787155
Georgia,2298899,1053849,1080843,1996,49.3677308,50.6322692
Georgia,2583208,1116230,1419720,2000,44.01624638,55.98375362
Georgia,3301875,1366149,1914254,2004,41.6457673,58.3542327
Georgia,3924486,1844123,2048759,2008,47.37166449,52.62833551
Georgia,3897839,1773827,2078688,2012,46.0433509,53.9566491
Georgia,4114732,1877963,2089104,2016,47.3388274,52.6611726
Hawaii,291301,147375,140003,1976,51.28263124,48.71736876
Hawaii,303287,135879,130112,1980,51.08405924,48.91594076
Hawaii,335846,147154,185050,1984,44.29627578,55.70372422
Hawaii,354461,192364,158625,1988,54.80627598,45.19372402
Hawaii,372842,179310,136822,1992,56.71997773,43.28002227
Hawaii,360120,205012,113943,1996,64.27615181,35.72384819
Hawaii,367951,205286,137845,2000,59.82729628,40.17270372
Hawaii,429013,231708,194191,2004,54.404448,45.595552
Hawaii,456064,325871,120566,2008,72.99372588,27.00627412
Hawaii,437159,306658,121015,2012,71.7038485,28.2961515
Hawaii,437664,266891,128847,2016,67.44133745,32.55866255
Idaho,340932,126549,204151,1976,38.26700937,61.73299063
Idaho,437431,110192,290699,1980,27.48677321,72.51322679
Idaho,411144,108510,297523,1984,26.7244288,73.2755712
Idaho,408968,147272,253881,1988,36.71217715,63.28782285
Idaho,482114,137013,202645,1992,40.33851698,59.66148302
Idaho,491711,165443,256595,1996,39.20097242,60.79902758
Idaho,501615,138637,336937,2000,29.15150954,70.84849046
Idaho,598376,181098,409235,2004,30.67726182,69.32273818
Idaho,655122,236440,403012,2008,36.97541019,63.02458981
Idaho,652274,212787,420911,2012,33.57861316,66.42138684
Idaho,690255,189765,409055,2016,31.68982332,68.31017668
Illinois,4721282,2271295,2364269,1976,48.99716626,51.00283374
Illinois,4749721,1981413,2358049,1980,45.66033762,54.33966238
Illinois,4819088,2086499,2707103,1984,43.52674669,56.47325331
Illinois,4559120,2215940,2310939,1988,48.950723,51.049277
Illinois,5050157,2453350,1734096,1992,58.58821821,41.41178179
Illinois,4311391,2341744,1587021,1996,59.60509219,40.39490781
Illinois,4742108,2589026,2019421,2000,56.18001032,43.81998968
Illinois,5274322,2891550,2345946,2004,55.20863405,44.79136595
Illinois,5522371,3419348,2031179,2008,62.73426404,37.26573596
Illinois,5242014,3019512,2135216,2012,58.57752339,41.42247661
Illinois,5536424,3090729,2146015,2016,59.02005139,40.97994861
Indiana,2220362,1014714,1183958,1976,46.15122219,53.84877781
Indiana,2242033,844197,1255656,1980,40.20267133,59.79732867
Indiana,2233069,841481,1377230,1984,37.92657088,62.07342912
Indiana,2168621,860643,1297763,1988,39.87400888,60.12599112
Indiana,2305871,848420,989375,1992,46.16510547,53.83489453
Indiana,2135431,887424,1006693,1996,46.85159364,53.14840636
Indiana,2199302,901980,1245836,2000,41.99521747,58.00478253
Indiana,2468002,969011,1479438,2004,39.57652375,60.42347625
Indiana,2751054,1374039,1345648,2008,50.52195345,49.47804655
Indiana,2624534,1152887,1420543,2012,44.7996254,55.2003746
Indiana,2734958,1033126,1557286,2016,39.88269048,60.11730952
Iowa,1279303,619931,632864,1976,49.48383415,50.51616585
Iowa,1317661,508672,676026,1980,42.93684973,57.06315027
Iowa,1319805,605620,703088,1984,46.27617467,53.72382533
Iowa,1225614,670557,545355,1988,55.14848114,44.85151886
Iowa,1354607,586353,504891,1992,53.73252911,46.26747089
Iowa,1234075,620258,492644,1996,55.73338892,44.26661108
Iowa,1353022,638517,634373,2000,50.16277919,49.83722081
Iowa,1506908,741898,751957,2004,49.66332074,50.33667926
Iowa,1537123,828940,682379,2008,54.84877779,45.15122221
Iowa,1582180,822544,730617,2012,52.95935193,47.04064807
Iowa,1565580,653669,800983,2016,44.93645215,55.06354785
Kansas,957845,430421,502752,1976,46.12445924,53.87554076
Kansas,979795,326150,566812,1980,36.52451056,63.47548944
Kansas,1021991,333149,677296,1984,32.97052289,67.02947711
Kansas,993044,422636,554049,1988,43.2724983,56.7275017
Kansas,1157236,390434,449951,1992,46.45894441,53.54105559
Kansas,1074300,387659,583245,1996,39.92763445,60.07236555
Kansas,1072216,399276,622332,2000,39.08309254,60.91690746
Kansas,1187756,434993,736456,2004,37.13290122,62.86709878
Kansas,1235872,514765,699655,2008,42.38772418,57.61227582
Kansas,1159971,440726,692634,2012,38.88667325,61.11332675
Kansas,1184402,427005,671018,2016,38.88852966,61.11147034
Kentucky,1167142,615717,531852,1976,53.65402865,46.34597135
Kentucky,1295627,617417,635274,1980,49.2872544,50.7127456
Kentucky,1369345,539539,821702,1984,39.63581761,60.36418239
Kentucky,1322517,580368,734281,1988,44.14623219,55.85376781
Kentucky,1492900,665104,617178,1992,51.86877769,48.13122231
Kentucky,1388708,636614,623283,1996,50.52905118,49.47094882
Kentucky,1544106,638923,872520,2000,42.27238473,57.72761527
Kentucky,1795882,712733,1069439,2004,39.99238008,60.00761992
Kentucky,1826620,751985,1048462,2008,41.76657241,58.23342759
Kentucky,1797212,679370,1087190,2012,38.45722761,61.54277239
Kentucky,1924149,628854,1202971,2016,34.32937098,65.67062902
Louisiana,1277383,661365,587446,1976,52.95957515,47.04042485
Louisiana,1548591,708453,792853,1980,47.18911401,52.81088599
Louisiana,1706822,651586,1037299,1984,38.58083884,61.41916116
Louisiana,1628202,717460,883702,1988,44.80870768,55.19129232
Louisiana,1790017,815971,733386,1992,52.66513786,47.33486214
Louisiana,1783959,927837,712586,1996,56.56083827,43.43916173
Louisiana,1765656,792344,927871,2000,46.06075403,53.93924597
Louisiana,1943106,820299,1102169,2004,42.66905873,57.33094127
Louisiana,1960761,782989,1148275,2008,40.54282584,59.45717416
Louisiana,1994065,809141,1152262,2012,41.25317439,58.74682561
Louisiana,2029032,780154,1178638,2016,39.82832276,60.17167724
Maine,482968,232279,236320,1976,49.5688211,50.4311789
Maine,523011,220974,238522,1980,48.09051657,51.90948343
Maine,553144,214515,336500,1984,38.9308821,61.0691179
Maine,555035,243569,307131,1988,44.2289813,55.7710187
Maine,679499,263420,206504,1992,56.05587286,43.94412714
Maine,605897,312788,186378,1996,62.66212042,37.33787958
Maine,651817,319951,286616,2000,52.74784154,47.25215846
Maine,740752,396842,330201,2004,54.58301641,45.41698359
Maine,731163,421923,295273,2008,58.82952498,41.17047502
Maine,724758,401306,292276,2012,57.85992139,42.14007861
Maine,771892,357735,335593,2016,51.59679113,48.40320887
Maryland,1432273,759612,672661,1976,53.03541992,46.96458008
Maryland,1540496,726161,680606,1980,51.61913807,48.38086193
Maryland,1675873,787935,879918,1984,47.24247281,52.75752719
Maryland,1714358,826304,876167,1988,48.53556977,51.46443023
Maryland,1984580,988571,707094,1992,58.29990004,41.70009996
Maryland,1780870,966207,681530,1996,58.63842349,41.36157651
Maryland,2025212,1144008,813827,2000,58.43229894,41.56770106
Maryland,2384238,1334493,1024703,2004,56.56558421,43.43441579
Maryland,2631596,1629467,959862,2008,62.93008729,37.06991271
Maryland,2707327,1677844,971869,2012,63.32172579,36.67827421
Maryland,2781446,1677928,943169,2016,64.01624968,35.98375032
Massachusetts,2547558,1429475,1030276,1976,58.11462217,41.88537783
Massachusetts,2524090,1053802,1057631,1980,49.90932698,50.09067302
Massachusetts,2559383,1239606,1310936,1984,48.60166976,51.39833024
Massachusetts,2632801,1401415,1194635,1988,53.98258893,46.01741107
Massachusetts,2773664,1318639,805039,1992,62.09222867,37.90777133
Massachusetts,2556459,1571509,718058,1996,68.63782541,31.36217459
Massachusetts,2733964,1616487,878502,2000,64.78934376,35.21065624
Massachusetts,2927455,1803800,1071109,2004,62.74285551,37.25714449
Massachusetts,3102995,1904097,1108854,2008,63.19707821,36.80292179
Massachusetts,3184196,1921290,1188314,2012,61.78568075,38.21431925
Massachusetts,3378821,1995196,1090893,2016,64.65127869,35.34872131
Michigan,3651590,1696714,1893742,1976,47.25622595,52.74377405
Michigan,3909725,1661532,1915225,1980,46.4535891,53.5464109
Michigan,3801658,1529638,2251571,1984,40.453675,59.546325
Michigan,3669163,1675783,1965486,1988,46.02195004,53.97804996
Michigan,4274673,1871182,1554940,1992,54.61515965,45.38484035
Michigan,3848844,1989653,1481212,1996,57.32441337,42.67558663
Michigan,4232501,2170418,1953139,2000,52.63460648,47.36539352
Michigan,4839252,2479183,2313746,2004,51.72584447,48.27415553
Michigan,5001596,2872579,2048639,2008,58.37130158,41.62869842
Michigan,4730961,2564569,2115256,2012,54.80053207,45.19946793
Michigan,4799284,2268839,2279543,2016,49.88233178,50.11766822
Minnesota,1949931,1070440,819395,1976,56.64198197,43.35801803
Minnesota,2051916,954173,873268,1980,52.21361456,47.78638544
Minnesota,2084449,1036364,1032603,1984,50.09089077,49.90910923
Minnesota,2096790,1109471,962337,1988,53.55085993,46.44914007
Minnesota,2347948,1020997,747841,1992,57.72134022,42.27865978
Minnesota,2192492,1120380,766395,1996,59.38068927,40.61931073
Minnesota,2438685,1168266,1109659,2000,51.28641198,48.71358802
Minnesota,2828387,1445014,1346695,2004,51.76091061,48.23908939
Minnesota,2910369,1573354,1275409,2008,55.229375,44.770625
Minnesota,2936561,1546167,1320225,2012,53.94122646,46.05877354
Minnesota,2944782,1367705,1322949,2016,50.83169371,49.16830629
Mississippi,768390,381329,366846,1976,50.96788853,49.03211147
Mississippi,891750,429281,441089,1980,49.3216678,50.6783322
Mississippi,941104,352192,582377,1984,37.68496494,62.31503506
Mississippi,931527,363921,557890,1988,39.47891704,60.52108296
Mississippi,981793,400258,487793,1992,45.07151053,54.92848947
Mississippi,893857,394022,439838,1996,47.25277625,52.74722375
Mississippi,994184,404614,572844,2000,41.39451516,58.60548484
Mississippi,1139824,457766,672660,2004,40.49499923,59.50500077
Mississippi,1289865,554662,724597,2008,43.35806901,56.64193099
Mississippi,1285584,562949,710746,2012,44.1981008,55.8018992
Mississippi,1209357,485131,700714,2016,40.91015268,59.08984732
Missouri,1953600,998387,927443,1976,51.84190713,48.15809287
Missouri,2099824,931182,1074181,1980,46.43458566,53.56541434
Missouri,2122771,848583,1274188,1984,39.97524933,60.02475067
Missouri,2093228,1001619,1084953,1988,48.00308832,51.99691168
Missouri,2391270,1053873,811159,1992,56.5069661,43.4930339
Missouri,2158065,1025935,890016,1996,53.54703748,46.45296252
Missouri,2359892,1111138,1189924,2000,48.28805134,51.71194866
Missouri,2731364,1259171,1455713,2004,46.38028733,53.61971267
Missouri,2925205,1441911,1445814,2008,49.93242085,50.06757915
Missouri,2757323,1223796,1482440,2012,45.22133325,54.77866675
Missouri,2808605,1071068,1594511,2016,40.181439,59.818561
Montana,328734,149259,173703,1976,46.21565385,53.78434615
Montana,363952,118032,206814,1980,36.33475555,63.66524445
Montana,384377,146742,232450,1984,38.69860124,61.30139876
Montana,365674,168936,190412,1988,47.01181028,52.98818972
Montana,410583,154507,144207,1992,51.72405712,48.27594288
Montana,407083,167922,179652,1996,48.31258955,51.68741045
Montana,410986,137126,240178,2000,36.34363802,63.65636198
Montana,450434,173710,266063,2004,39.49992382,60.50007618
Montana,490109,231667,242763,2008,48.83059672,51.16940328
Montana,484048,201839,267928,2012,42.96576814,57.03423186
Montana,494526,177709,279240,2016,38.89033568,61.10966432
Nebraska,606749,233293,359219,1976,39.37354855,60.62645145
Nebraska,639533,166424,419214,1980,28.41755487,71.58244513
Nebraska,652090,187866,460054,1984,28.99524633,71.00475367
Nebraska,661465,259235,397956,1988,39.44591451,60.55408549
Nebraska,737546,216864,343678,1992,38.68826957,61.31173043
Nebraska,677415,236761,363467,1996,39.4451775,60.5548225
Nebraska,697019,231780,433862,2000,34.82051914,65.17948086
Nebraska,778186,254328,512814,2004,33.15266274,66.84733726
Nebraska,801281,333319,452979,2008,42.39092558,57.60907442
Nebraska,794379,302081,475064,2012,38.87060973,61.12939027
Nebraska,844227,284494,495961,2016,36.45232589,63.54767411
Nevada,201876,92479,101273,1976,47.73060407,52.26939593
Nevada,243692,66666,155017,1980,30.07267134,69.92732866
Nevada,282717,91655,188770,1984,32.68431845,67.31568155
Nevada,343133,132738,206040,1988,39.18141084,60.81858916
Nevada,506318,189148,175828,1992,51.82477752,48.17522248
Nevada,464279,203974,199244,1996,50.58653136,49.41346864
Nevada,609426,279978,301575,2000,48.1431615,51.8568385
Nevada,829587,397190,418690,2004,48.68240428,51.31759572
Nevada,967848,533736,412827,2008,56.38673813,43.61326187
Nevada,1014918,531373,463567,2012,53.40754216,46.59245784
Nevada,1125385,539260,512058,2016,51.29370942,48.70629058
New Hampshire,339627,147645,185935,1976,44.26074705,55.73925295
New Hampshire,383990,108864,221705,1980,32.93230763,67.06769237
New Hampshire,388904,120347,267050,1984,31.06554775,68.93445225
New Hampshire,450525,163696,281537,1988,36.76636727,63.23363273
New Hampshire,537215,209040,202484,1992,50.79655136,49.20344864
New Hampshire,496597,246166,196486,1996,55.61163171,44.38836829
New Hampshire,569081,266348,273559,2000,49.3321998,50.6678002
New Hampshire,678287,340511,331237,2004,50.69028862,49.30971138
New Hampshire,710970,384826,316534,2008,54.86854112,45.13145888
New Hampshire,710972,369561,329918,2012,52.83375198,47.16624802
New Hampshire,744296,348526,345790,2016,50.19702844,49.80297156
New Jersey,3014472,1444653,1509688,1976,48.89933153,51.10066847
New Jersey,2975684,1147364,1546557,1980,42.59085549,57.40914451
New Jersey,3217862,1261323,1933630,1984,39.47860892,60.52139108
New Jersey,3099553,1320352,1743192,1988,43.09884239,56.90115761
